date,constituency,code,households,owned,owned_outright,owned_mortgage,owned_shared_ownership,rented_social,rented_social_local_authority,rented_social_other,rented_private,rented_private_landlord,rented_private_other,rent_free
2011,Neath,W07000069,31824,22385,12080,10305,52,5856,3653,2203,3014,2624,390,517
2011,Cynon Valley,W07000070,29663,20461,10903,9558,37,4729,2493,2236,4009,3691,318,427
2011,Merthyr Tydfil and Rhymney,W07000071,31272,20144,10561,9583,52,7035,4022,3013,3520,3136,384,521
2011,Blaenau Gwent,W07000072,30416,18884,10019,8865,40,7284,3364,3920,3892,3480,412,316
2011,Bridgend,W07000073,33368,24106,11517,12589,100,4577,1177,3400,4149,3661,488,436
2011,Ogmore,W07000074,31501,22734,10762,11972,60,4583,1662,2921,3727,3222,505,397
2011,Pontypridd,W07000075,33229,24450,11376,13074,61,4168,1960,2208,4076,3682,394,474
2011,Caerphilly,W07000076,35941,25271,11299,13972,116,6259,4548,1711,3994,3597,397,301
2011,Islwyn,W07000077,31530,22060,10605,11455,90,5786,4273,1513,3290,2945,345,304
2011,Vale of Glamorgan,W07000078,41005,29276,14132,15144,101,5355,3447,1908,5846,5036,810,427
2011,Cardiff West,W07000079,38855,23855,10632,13223,101,7961,5227,2734,6339,5858,481,599
2011,Cardiff South and Penarth,W07000080,46868,26323,11226,15097,199,9718,5198,4520,9861,9075,786,767
